Username,Description,PullReq,Ratings
zhangdaiscott / jeecg-boot,基于代码生成器的低代码平台，超越传统商业平台！前后端分离架构：SpringBoot 2.x，SpringCloud Alibaba，Ant Design&Vue，Mybatis-plus，Shiro，JWT。强大的代码生成器让前后端代码一键生成，无需写任何代码! 引领新开发模式(OnlineCoding-> 代码生成-> 手工MERGE)，帮助Java项目解决70%重复工作，让开发更关注业务逻辑，既能快速提高开发效率，帮助公司节省成本，同时又不失灵活性。,"16,838","1,404 stars this month"
Anuken / Mindustry,A sandbox tower defense game,"6,293",733 stars this month
quarkusio / quarkus,Quarkus: Supersonic Subatomic Java.,"6,167",266 stars this month
seven332 / EhViewer,[DEPRECATED] An Unofficial E-Hentai Application for Android,"5,766",154 stars this month
hollischuang / toBeTopJavaer,To Be Top Javaer - Java工程师成神之路,"17,897",710 stars this month
signalapp / Signal-Android,A private messenger for Android.,"13,930",193 stars this month
jenkinsci / jenkins,Jenkins automation server,"16,376",199 stars this month
GeyserMC / Geyser,A bridge/proxy allowing you to connect to Minecraft: Java Edition servers with Minecraft: Bedrock edition.,"1,445",179 stars this month
iluwatar / java-design-patterns,Design patterns implemented in Java,"61,679",881 stars this month
libgdx / libgdx,Desktop/Android/HTML5/iOS Java game development framework,"17,595",163 stars this month
apache / camel,Apache Camel is an open source integration framework that empowers you to quickly and easily integrate various systems consuming or producing data.,"3,466",57 stars this month
tomakehurst / wiremock,A tool for mocking HTTP services,"4,129",76 stars this month
cabaletta / baritone,google maps for block game,"2,223",116 stars this month
gyoogle / tech-interview-for-developer,👶🏻 신입 개발자 전공 지식 & 기술 면접 백과사전 📖,"2,332",208 stars this month
fuzhengwei / itstack-demo-design,小傅哥微信：fustack |《重学Java设计模式「22个互联网真实案例实战」》技术好就一定能写出好代码吗？不能！再漂亮的马桶放到厨房都略显尴尬！无论是家里装修还是上道开车，只有通过实战才能快速将理论转变为技能。毕竟设计模式也是源于 克里斯托佛·亚历山大 的著作 《建筑模式语言》。,"1,412","1,283 stars this month"
dbeaver / dbeaver,Free universal database tool and SQL client,"15,775",491 stars this month
twowaits / SDE-Interview-Questions,"Most comprehensive list 📋 of tech interview questions 📘 of companies scraped from Geeksforgeeks, CareerCup and Glassdoor.","3,565","1,033 stars this month"
Snailclimb / jsoncat,仿 Spring Boot 但不同于 Spring Boot 的一个轻量级的 HTTP 框架,281,225 stars this month
ethereum / EIPs,The Ethereum Improvement Proposal repository,"5,324",3 stars today
aws / eks-charts,Amazon EKS Helm chart repository,271,4 stars today
TheEconomist / us-potus-model,Code for a dynamic multilevel Bayesian model to predict US presidential elections. Written in R and Stan.,"1,025",21 stars today
amundsen-io / amundsen,"Amundsen is a metadata driven application for improving the productivity of data analysts, data scientists and engineers when interacting with data.","1,437",11 stars today
sprov065 / v2-ui,支持多协议多用户的 v2ray 面板，Support multi-protocol multi-user v2ray panel,"2,486",13 stars today
PKUanonym / REKCARC-TSC-UHT,"清华大学计算机系课程攻略 Guidance for courses in Department of Computer Science and Technology, Tsinghua University","15,311",17 stars today
cypress-io / cypress-example-kitchensink,This is an example app used to showcase Cypress.io testing.,653,1 stars today
marcel-dempers / docker-development-youtube-series,none,336,2 stars today
w3c / csswg-drafts,CSS Working Group Editor Drafts,"2,523",6 stars today
ansible / workshops,Training Course for Ansible Automation Platform,850,0 stars today
bitnami / charts,Helm Charts,"2,056",9 stars today
oneapi-src / oneAPI-samples,Samples for Intel oneAPI toolkits,32,0 stars today
LAB-MI / attestation-couvre-feu-covid-19,Service de génération de l'attestation de déplacement dérogatoire à présenter dans le cadre du couvre-feu lié au virus covid-19,28,7 stars today
tabler / tabler,Tabler is free and open-source HTML Dashboard UI Kit built on Bootstrap,"22,114",8 stars today
jgraph / mxgraph,mxGraph is a fully client side JavaScript diagramming library,"5,804",9 stars today
swagger-api / swagger-codegen,"swagger-codegen contains a template-driven engine to generate documentation, API clients and server stubs in different languages by parsing your OpenAPI / Swagger definition.","12,179",4 stars today
chiphuyen / machine-learning-systems-design,A booklet on machine learning systems design with exercises,"5,156",19 stars today
expressjs / expressjs.com,none,"3,607",1 stars today
nathanreyes / v-calendar,"A lightweight, dependency-free plugin for building attributed calendars in Vue.js","2,385",2 stars today
iwxf / free-v2ray,每天更新，分享免费V2Ray账号、订阅链接，V2Ray翻墙科学上网教程。,234,5 stars today
KhronosGroup / glTF,glTF – Runtime 3D Asset Delivery,"4,262",2 stars today
boostorg / boost,Super-project for modularized Boost,"3,797",5 stars today
vector-im / element-web,A glossy Matrix collaboration client for the web.,"5,643",7 stars today
w3c / webcomponents,Web Components specifications,"3,404",3 stars today
sindresorhus / screenfull.js,Simple wrapper for cross-browser usage of the JavaScript Fullscreen API,"5,761",4 stars today
TheEconomist / us-potus-model,Code for a dynamic multilevel Bayesian model to predict US presidential elections. Written in R and Stan.,"1,025",72 stars this week
